"PassengerId";"HomePlanet";"CryoSleep";"Cabin";"Destination";"Age";"VIP";"RoomService";"FoodCourt";"ShoppingMall";"Spa";"VRDeck";"Name";"Transported";"IdGroup";"IdNumber";"CabinArea";"CabinNumber";"CabinSide";"FirstName";"LastName";"GroupSize";"CabinSize";"SectorCabinCount";"SectorPersonCount";"CabinPosition";"TotalExpenses";"NoExpenses";"LogTotalExpenses";"LogRoomService";"LogFoodCourt";"LogShoppingMall";"LogSpa";"LogVRDeck";"NoRoomService";"NoFoodCourt";"NoShoppingMall";"NoSpa";"NoVRDeck"
"0001_01";"Europa";FALSE;"B/0/P";"TRAPPIST-1e";"39,0";FALSE;"0,0";"0,0";"0,0";"0";"0,0";"Maham Ofracculy";FALSE;"1";"1";"B";"0,0";"P";"Maham";"Ofracculy";"1";"1";"302";"512";"0,000000000000000000";"0,0";TRUE;"-1,000000000000000";"-1,000000000000000";"-1,000000000000000";"-1,000000000000000";"-1,000000000000000";"-1,000000000000000";TRUE;TRUE;TRUE;TRUE;TRUE
"0002_01";"Earth";FALSE;"F/0/S";"TRAPPIST-1e";"24,0";FALSE;"109,0";"9,0";"25,0";"549";"44,0";"Juanna Vines";TRUE;"2";"1";"F";"0,0";"S";"Juanna";"Vines";"1";"1";"1797";"2061";"0,000000000000000000";"736,0";FALSE;"6,601230118728877";"4,691347882229143";"2,197224577336220";"3,218875824868201";"6,308098441509530";"3,784189633918261";FALSE;FALSE;FALSE;FALSE;FALSE
"0003_01";"Europa";FALSE;"A/0/S";"TRAPPIST-1e";"58,0";TRUE;"43,0";"3576,0";"0,0";"6715";"49,0";"Altark Susent";FALSE;"3";"1";"A";"0,0";"S";"Altark";"Susent";"2";"2";"110";"188";"0,000000000000000000";"10383,0";FALSE;"9,247925132303454";"3,761200115693562";"8,182000136293405";"-1,000000000000000";"8,812099108957337";"3,891820298110626";FALSE;FALSE;TRUE;FALSE;FALSE
"0003_02";"Europa";FALSE;"A/0/S";"TRAPPIST-1e";"33,0";FALSE;"0,0";"1283,0";"371,0";"3329";"193,0";"Solam Susent";FALSE;"3";"2";"A";"0,0";"S";"Solam";"Susent";"2";"2";"110";"188";"0,000000000000000000";"5176,0";FALSE;"8,551787836180736";"-1,000000000000000";"7,156956364615636";"5,916202062607435";"8,110427237575024";"5,262690188904886";TRUE;FALSE;FALSE;FALSE;FALSE
"0004_01";"Earth";FALSE;"F/1/S";"TRAPPIST-1e";"16,0";FALSE;"303,0";"70,0";"151,0";"565";"2,0";"Willy Santantines";TRUE;"4";"1";"F";"1,0";"S";"Willy";"Santantines";"1";"1";"1797";"2061";"0,000556792873051225";"1091,0";FALSE;"6,994849985833071";"5,713732805509369";"4,248495242049359";"5,017279836814924";"6,336825731146441";"0,693147180559945";FALSE;FALSE;FALSE;FALSE;FALSE
"0005_01";"Earth";FALSE;"F/0/P";"PSO J318.5-22";"44,0";FALSE;"0,0";"483,0";"0,0";"291";"0,0";"Sandie Hinetthews";TRUE;"5";"1";"F";"0,0";"P";"Sandie";"Hinetthews";"1";"1";"1895";"2178";"0,000000000000000000";"774,0";FALSE;"6,651571873589727";"-1,000000000000000";"6,180016653652572";"-1,000000000000000";"5,673323267171493";"-1,000000000000000";TRUE;FALSE;TRUE;FALSE;TRUE
"0006_01";"Earth";FALSE;"F/2/S";"TRAPPIST-1e";"26,0";FALSE;"42,0";"1539,0";"3,0";"0";"0,0";"Billex Jacostaffey";TRUE;"6";"1";"F";"2,0";"S";"Billex";"Jacostaffey";"2";"1";"1797";"2061";"0,001113585746102450";"1584,0";FALSE;"7,367708572374371";"3,737669618283368";"7,338888133838879";"1,098612288668110";"-1,000000000000000";"-1,000000000000000";FALSE;FALSE;FALSE;TRUE;TRUE
"0006_02";"Earth";TRUE;"G/0/S";"TRAPPIST-1e";"28,0";FALSE;"0,0";"0,0";"0,0";"0";"0,0";"Candra Jacostaffey";TRUE;"6";"2";"G";"0,0";"S";"Candra";"Jacostaffey";"2";"1";"1501";"1896";"0,000000000000000000";"0,0";TRUE;"-1,000000000000000";"-1,000000000000000";"-1,000000000000000";"-1,000000000000000";"-1,000000000000000";"-1,000000000000000";TRUE;TRUE;TRUE;TRUE;TRUE
"0007_01";"Earth";FALSE;"F/3/S";"TRAPPIST-1e";"35,0";FALSE;"0,0";"785,0";"17,0";"216";"0,0";"Andona Beston";TRUE;"7";"1";"F";"3,0";"S";"Andona";"Beston";"1";"1";"1797";"2061";"0,001670378619153675";"1018,0";FALSE;"6,925595197110468";"-1,000000000000000";"6,665683717782408";"2,833213344056216";"5,375278407684165";"-1,000000000000000";TRUE;FALSE;FALSE;FALSE;TRUE
"0008_01";"Europa";TRUE;"B/1/P";"55 Cancri e";"14,0";FALSE;"0,0";"0,0";"0,0";"0";"0,0";"Erraiam Flatic";TRUE;"8";"1";"B";"1,0";"P";"Erraiam";"Flatic";"3";"3";"302";"512";"0,003322259136212625";"0,0";TRUE;"-1,000000000000000";"-1,000000000000000";"-1,000000000000000";"-1,000000000000000";"-1,000000000000000";"-1,000000000000000";TRUE;TRUE;TRUE;TRUE;TRUE
